parent,extent,masterFilename,series,title,titleAlternative,description,description,descriptionAddress,accessionNumber,creator,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder,subjectName,subjectPlace,subjectTopic,dateCreated,datePublished,physicalFormat,physicalDescription,accessRights,collection,collectionCallNumber,donorProvenance,boxFolder
row:prev,,ms0020_neg_bp_6817_28.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_28,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6819_12.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_12,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6818_09.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_09,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6819_22.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_22,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6817_03.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_03,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6813_31.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_31,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6818_11.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_11,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6818_05.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_05,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6813_23.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_23,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_28.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_28,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6818_22.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_22,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6817_08.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_08,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6817_13.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_13,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6818_12.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_12,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6818_13.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_13,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6813_36.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_36,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_24.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_24,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_35.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_35,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6818_14.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_14,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6817_25.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_25,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6817_04.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_04,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6818_06.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_06,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6813_29.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_29,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_34.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_34,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6817_26.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_26,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6819_25.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_25,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_27.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_27,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6818_32.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_32,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6819_13.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_13,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6818_23.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_23,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6819_10.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_10,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_04.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_04,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6813_20.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_20,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6817_19.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_19,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6813_13.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_13,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_12.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_12,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_30.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_30,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6819_08.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_08,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6817_10.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_10,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6813_25.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_25,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_14.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_14,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6819_19.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_19,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_21.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_21,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_18.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_18,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_05.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_05,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6813_27.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_27,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6818_15.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_15,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6819_26.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_26,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_23.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_23,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6817_14.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_14,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6818_20.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_20,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6817_23.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_23,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6818_30.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_30,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6819_34.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_34,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_30.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_30,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_31.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_31,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6819_32.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_32,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6813_09.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_09,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_17.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_17,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_16.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_16,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_10.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_10,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6818_28.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_28,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6813_21.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_21,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6818_17.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_17,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6818_18.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_18,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6818_02.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_02,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6817_07.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_07,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6817_01.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_01,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6817_18.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_18,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6813_15.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_15,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6813_19.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_19,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6817_16.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_16,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6817_17.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_17,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6818_24.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_24,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6818_10.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_10,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6817_15.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_15,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6817_02.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_02,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6813_33.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_33,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6817_11.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_11,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6819_24.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_24,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
row:prev,,ms0020_neg_bp_6813_08.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6813_08,,,,,,,,,,1968-08-25,,,35 mm,,,,,"Box 467, Folder 6813"
row:prev,,ms0020_neg_bp_6817_21.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6817_21,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6817"
row:prev,,ms0020_neg_bp_6818_19.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6818_19,,,,,,,,,,1968-09-22,,,35 mm,,,,,"Box 467, Folder 6818"
row:prev,,ms0020_neg_bp_6819_07.tif,,Free Huey rally at Bobby Hutton Memorial Park (formerly DeFremery Park): Untitled,,Unprinted/unpublished,,,ms0020_neg_bp_6819_07,,,,,,,,,,1968-09-22,,,35 mm,,,,,Box 467
,323 images,,The Black Panthers,"Free Huey rally, Bobby Hutton Memorial Park (formerly DeFremery Park)",,,,,,http://id.loc.gov/authorities/names/n90650175; http://id.loc.gov/authorities/names/n2002034393,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,http://id.loc.gov/authorities/names/n80095585,http://www.geonames.org/5341840,http://id.loc.gov/authorities/subjects/sh85026383;http://id.loc.gov/authorities/subjects/sh85014602,1968,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_bp_68-078_13.tif,,"At Free Huey Rally, Bobby Hutton Memorial Park, Oakland, CA, #105 from A Photographic Essay on The Black Panthers",Older man lying down reading Panther paper,Printed/published,#105 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-078_13,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-09-22,1968,,35 mm,,,,,"Box 454, Folder 68-078"
row:prev,,ms0020_neg_bp_68-102_06.tif,,"Black Panther carrying books for study, at Free Huey Rally, Bobby Hutton Memorial Park, Oakland, CA, #99 from A Photographic Essay on The Black Panthers",Panther carrying books,Printed/published,#99 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-102_06,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-08-25,1968,,2 1/4 in,,,,,"Box 453, Folder 68-102"
row:prev,,ms0020_neg_bp_6812_19.tif,,"Black Panther guard, Free Huey Rally, Bobby Hutton Memorial Park, Oakland, CA, #54 from A Photographic Essay on The Black Panthers",Man with earring and beret,Printed/published,#54 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_6812_19,http://id.loc.gov/authorities/names/n2002034393,,,,,,,,,1968-08-25,1968,,35 mm,,,,,"Box 467, Folder 6812"
row:prev,,ms0020_neg_bp_6812_13.tif,,"Black Panther guards at Free Huey Rally, Bobby Hutton Memorial Park, Oakland, CA, #21 from A Photographic Essay on The Black Panthers","Two Panther Guards, one man looking over shoulder",Printed/published,#21 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_6812_13,http://id.loc.gov/authorities/names/n2002034393,,,,,,,,,1968-08-25,1968,,35 mm,,,,,"Box 467, Folder 6812"
row:prev,,ms0020_neg_bp_68-103_01.tif,,"Black Panthers and audience at Free Huey Rally, Bobby Hutton Memorial Park (formerly De Fremery), Oakland, California, #6 from A Photographic Essay on The Black Panthers",Black Panthers and audience,Printed/published,#6 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-103_01,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-08-25,1968,,2 1/4 in,,,,,"Box 453, Folder 68-103"
row:prev,,ms0020_neg_bp_68-103_06.tif,,"Black Panthers and crowd, Free Huey Rally, Bobby Hutton Memorial Park, Oakland, CA, #39 from A Photographic Essay on The Black Panthers","Crowd at rally, with Ruth-Marion Baruch carrying camera",Printed/published,#39 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-103_06,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-08-25,1968,,2 1/4 in,,,,,"Box 453, Folder 68-103"
row:prev,,ms0020_neg_bp_68-078_04.tif,,"Black Panthers discussing their reading material, Bobby Hutton Memorial Park, Oakland, CA, #100 from A Photographic Essay on The Black Panthers","Men talking on bench, man on right holding book with raised arm",Printed/published,#100 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-078_04,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-09-22,1968,,35 mm,,,,,"Box 454, Folder 68-078"
row:prev,,ms0020_neg_bp_68-078_03.tif,,"Black Panthers discussing their reading material, Bobby Hutton Memorial Park, Oakland, CA, #101 from A Photographic Essay on The Black Panthers","Men talking on park bench, man on left with raised arm",Printed/published,#101 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-078_03,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-09-22,1968,,35 mm,,,,,"Box 454, Folder 68-078"
row:prev,,ms0020_neg_bp_68-071_27.tif,,"Black Panthers from Sacramento, Free Huey Rally, Bobby Hutton Memorial Park, Oakland, CA, #62 from A Photographic Essay on The Black Panthers",Black women with their left arm raised,Printed/published,#62 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_68-071_27,http://id.loc.gov/authorities/names/n90650175,,,,,,,,,1968-08-25,1968,,35 mm,,,,,"Box 454, Folder 68-071"
