parent,extent,masterFilename,series,title,titleAlternative,description,description,accessionNumber,boxFolder,physicalDescription,creator,subjectName,subjectPlace,subjectTopic,dateCreated,datePublished,physicalFormat,accessRights,collection,collectionCallNumber,donorProvenance,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder
row:prev,,ms0020_neg_bv_56-243_09.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_09,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_26.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_26,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_31.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_31,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_27.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_27,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-163_03.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-163_03,"Box 449, Folder 56-163",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_07.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_07,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_33.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_33,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-163_05.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-163_05,"Box 449, Folder 56-163",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_39.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_39,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_32.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_32,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_03.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_03,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-243_25.tif,,Demolition and burning: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-243_25,"Box 448, Folder 56-243",35 mm,,,,,,,,,,,,,,,,
,42 images,,Berryessa Valley,"Demolition of Cook, McKenzie and Son Store",,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5374510,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-227_11.tif,,"Caterpillar moving the rubble from the McKenzie store, Monticello, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-227_11,"Box 448, Folder 56-227",35 mm,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_25.tif,,"Demolished Cook, McKenzie and Son Store, (partial façade) Monticello, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-227_25,"Box 448, Folder 56-227",35 mm,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_24.tif,,"Two men beginning demolition of Cook, McKenzie and Son Store ""SINCE 1893"", Monticello, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-227_24,"Box 448, Folder 56-227",35 mm,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_13.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_13,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_22.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_22,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_06.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_06,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_14.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_14,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_17.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_17,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_10.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_10,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_12.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_12,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_16.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_16,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_08.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_08,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_21.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_21,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_26.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_26,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_07.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_07,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_27.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_27,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_18.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_18,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_04.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_04,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_05.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_05,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_19.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_19,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_14.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_14,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_11.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_11,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_20.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_20,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_13.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_13,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_17.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_17,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_19.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_19,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_12.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,,,ms0020_neg_bv_56-230_12,"Box 448, Folder 56-230",35 mm,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_29.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_29,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_01.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_01,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_03.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_03,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_28.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_28,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_21.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_21,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_20.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_20,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_30.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_30,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_02.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_02,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_22.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_22,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_15.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_15,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_23.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_23,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_09.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_09,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-227_15.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-227_15,"Box 448, Folder 56-227",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_16.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_16,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-230_18.tif,,"Demolition of Cook, McKenzie and Son Store: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-230_18,"Box 448, Folder 56-230",35 mm,,,,,,,,,,,,,,,,
,21 images,,Berryessa Valley,Demolition of grapevines and barn,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-110_01.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_01,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_02.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_02,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_02.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_02,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_10.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_10,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_05.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_05,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_09.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_09,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_03.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_03,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_04.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_04,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_07.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_07,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_04.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_04,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_05.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_05,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_12.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_12,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_08.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_08,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_01.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_01,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_07.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_07,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_08.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_08,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_06.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_06,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_11.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_11,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-111_03.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-111_03,"Box 449, Folder 56-111",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-110_06.tif,,Demolition of grapevines and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-110_06,"Box 449, Folder 56-110",2 1/4 in,,,,,,,,,,,,,,,,
,129 images,,Berryessa Valley,Demolition of town and store,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5374510; http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-221_10.tif,,[Burning house],,Printed/published,,ms0020_neg_bv_56-221_10,"Box 448, Folder 56-221",35 mm,,,http://www.geonames.org/5374510,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-226_06.tif,,"A cat skinner with his Caterpillar, from Berryessa Valley The Last Year",,Printed/published,"From Berryessa Valley, the Last Year",ms0020_neg_bv_56-226_06,"Box 448, Folder 56-226",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-221_11.tif,,"Burning house frame collapsing, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-221_11,"Box 448, Folder 56-221",35 mm,,,http://www.geonames.org/5374510,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-132_01.tif,,"Burning house totally engulfed in flames, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-132_01,"Box 449, Folder 56-132",2 1/4 in,,,http://www.geonames.org/5374510,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-221_22.tif,,"Fire is part of the demolition process, from Death of a Valley",,Printed/published,From Death of a Valley,ms0020_neg_bv_56-221_22,"Box 448, Folder 56-221",35 mm,,,http://www.geonames.org/5374510,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-125_01.tif,,Man cutting speed sign,,Printed/published,,ms0020_neg_bv_56-125_01,"Box 449, Folder 56-125",2 1/4 in,,,http://www.geonames.org/5364444,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-129_06.tif,,"Power Lines Cut, from Death of a Valley",,Printed/published,From Death of a Valley,ms0020_neg_bv_56-129_06,"Box 449, Folder 56-129",2 1/4 in,,,http://www.geonames.org/5374510,,,1960,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-132_04.tif,,"Power lines in front of the McKenzie Store, prior to the demolition Monticello, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-132_04,"Box 449, Folder 56-132",2 1/4 in,,,http://www.geonames.org/5374510,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-129_09.tif,,"Power pole and lines on the ground, Monticello, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-129_09,"Box 449, Folder 56-129",2 1/4 in,,,http://www.geonames.org/5374510,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_08.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_08,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_02.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_02,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_03.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_03,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_22.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_22,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_07.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_07,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_09.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_09,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_13.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_13,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_14.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_14,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_21.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_21,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-109_01.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-109_01,"Box 449, Folder 56-109",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-119_01.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-119_01,"Box 449, Folder 56-119",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-119_05.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-119_05,"Box 449, Folder 56-119",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-221_08.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-221_08,"Box 448, Folder 56-221",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-221_09.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-221_09,"Box 448, Folder 56-221",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-221_19.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-221_19,"Box 448, Folder 56-221",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-116_08.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-116_08,"Box 449, Folder 56-116",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-116_06.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-116_06,"Box 449, Folder 56-116",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-116_01.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-116_01,"Box 449, Folder 56-116",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-116_05.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-116_05,"Box 449, Folder 56-116",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-132_05.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-132_05,"Box 449, Folder 56-132",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-132_07.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-132_07,"Box 449, Folder 56-132",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-129_05.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-129_05,"Box 449, Folder 56-129",2 1/4 in,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-231_34.tif,,Demolition of town and store: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-231_34,"Box 448, Folder 56-231",35 mm,,,http://www.geonames.org/5374510,,,,,,,,,,,,,
