workType,filename,parent,extent,collectionCallNumber,title,description,descriptionAddress,creator,contributor,dateCreatedDisplay,dateCreated,subjectTopic,subjectPlace,subjectName,language,resourceType,physicalFormat,physicalDescription,donorProvenance,masterFilename,publisher,publisherHomepage,rightsStatement,rightsHolder,accessRights,rightsStatus,relatedResource,accessionNumber,itemCallNumber,boxFolder
work,ms0188_pho_0018.tif,row:3,,,"Loma Prieta Earthquake. View of Pacific Avenue, with Logos Books, Pipeline, and Genseler Lee","Note on verso: ""Genseler Lee (far right), Pipeline (middle), Logos Books Oct. 1989 File - 636-G-25""",1123 Pacific Avenue\; 1121 Pacific Avenue\; 1117 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh85148606; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0018.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0018,,Box 1
work,ms0188_pho_0021.tif,row:3,,,Loma Prieta Earthquake. View of Pacific Avenue,"Note on verso: ""Looking down Pacific Ave., across from Bubble Bakery was Penniman Title, Zwerling, Santa Cruz Hardware. Oct. 1989 File - 636-J-4""",Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0021.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0021,,Box 1
work,ms0188_pho_0022.tif,row:3,,,"Loma Prieta Earthquake. View of Church Street, looking towards Pacific Avenue","Note on verso: ""Looking down Church Street towards Pacific. Demolition going on. Oct 1989. File - 636-J-7""",Church Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh85148606; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0022.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0022,,Box 1
work,ms0188_pho_0023.tif,row:3,,,Loma Prieta Earthquake. 131 Myrtle Street,"Note on verso: ""Address: 131 Myrtle Street. October 1989. File - 639-4-17"". Duplicate print: ms0188_pho_0023, with note on verso, ""File #639-4-11, gsp early 1990's, House on Neary St.""",131 Myrtle Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85147932; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0023.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0023,,Box 1
work,ms0188_pho_0024.tif,row:3,,,Loma Prieta Earthquake. 130 Myrtle Street,"Note on verso: ""130 Myrtle Street home. October 17, 1989. Home exploded after quake. File - 639-10-1""",130 Myrtle Street,"Lowry, Alexander, 1937-2010",,1989-10-17,1989-10-17,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85147932; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0024.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0024,,Box 1
work,ms0188_pho_0035.tif,row:3,,,"Loma Prieta Earthquake. ""It's Here"". Santa Cruz, CA","Note on verso: ""Neg # 702-D-29, Date 1992, Print #1, Date 1996, gelatin silver print, Cooper St. at Pacific Ave.""",,"Lowry, Alexander, 1937-2010",,1992,1992,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh2003006457; info:lc/authorities/subjects/sh85031345,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 1/2 x 12 in.,Alexander Lowry,ms0188_pho_0035.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0035,,Box 2
work,ms0188_pho_0031.tif,row:3,,,Loma Prieta Earthquake. Hihn Building Cracks After Eathquake,"Note on verso: ""File #635-5-36, gelatin silver print 1990's""",1201 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989,1989,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 1/2 in.,Alexander Lowry,ms0188_pho_0031.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0031,,Box 2
work,ms0188_pho_0036.tif,row:3,,,"Loma Prieta Earthquake. Zoccoli's Deli Santa Cruz, CA 1991","Note on verso: ""File # 676-E-18, Silver gelatin print, 1993""",1534 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1991,1991,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85026142; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 11 in.,Alexander Lowry,ms0188_pho_0036.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0036,,Box 2
work,ms0188_pho_0038.tif,row:3,,,Loma Prieta Earthquake. Steeple on Holy Cross Church (during earthquake repair),"Note on verso: ""Neg #704-D-24, Date 1992, Print #2, Date 1994""",126 High Street,"Lowry, Alexander, 1937-2010",,1992,1992,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh2003006457; info:lc/authorities/subjects/sh85031345,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 12 in.,Alexander Lowry,ms0188_pho_0038.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0038,,Box 2
work,ms0188_pho_0039.tif,row:3,,,"Loma Prieta Earthquake. The Other Shoe. Santa Cruz, CA 1990","Note on verso: ""File # 646-B-20, Silver gelatin print, early 1990's""",,"Lowry, Alexander, 1937-2010",,1990,1990,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 12 in.,Alexander Lowry,ms0188_pho_0039.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0039,,Box 2
work,ms0188_pho_0030.tif,row:3,,,"Young woman at the Garden Project, UC Santa Cruz","Note on mount: ""Neg # 342-A-6, date 1971, Print #1 date 1997""",,"Lowry, Alexander, 1937-2010",,1971-06-01,1971-06-01,info:lc/authorities/subjects/sh85053101; info:lc/authorities/subjects/sh85049332; info:lc/authorities/subjects/sh85129296,http://www.geonames.org/5404900; http://www.geonames.org/5393052,info:lc/authorities/names/n79059545,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,7 1/2 x 12 in.,Alexander Lowry,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0030,,Box 2
work,ms0188_pho_0025.tif,row:3,,,"Untitled (""The Wave"") sculpture by Kenny Farrell, 1974","Note on mount: ""Neg # 619-C-35 - date: 1989, Print #1 - date: 1997""",,"Lowry, Alexander, 1937-2010","Farrell, Kenny",1989-06-01,1989-06-01,info:lc/authorities/subjects/sh85108616; info:lc/authorities/subjects/sh85119004,http://www.geonames.org/5404900; http://www.geonames.org/5393052,info:lc/authorities/names/n79059545,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 12 in.,Alexander Lowry,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0025,,Box 2
work,ms0188_pho_0026.tif,row:3,,,"Cowell College, University of California, Santa Cruz, 1971","Note on mount: ""File #392-C-18, Silverprint 1994""",,"Lowry, Alexander, 1937-2010",,1971,1971,info:lc/authorities/subjects/sh85051067; info:lc/authorities/subjects/sh85129296,http://www.geonames.org/5404900; http://www.geonames.org/5393052,info:lc/authorities/names/n79059545,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 12 in.,Alexander Lowry,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0026,,Box 2
work,ms0188_pho_0027.tif,row:3,,,"Natural Sciences Building (now Thimann Labs), University of California, Santa Cruz","Note on mount: ""Neg # 212-23 - date 1965, Print # 1 - date 1997""",,"Lowry, Alexander, 1937-2010",,1965-10-01,1965-10-01,info:lc/authorities/subjects/sh85129296,http://www.geonames.org/5404900; http://www.geonames.org/5393052,info:lc/authorities/names/n79059545,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 12 in.,Alexander Lowry,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0027,,Box 2
work,ms0188_pho_0028.tif,row:3,,,"Ansel Adams with students by one of the old Cowell Ranch buildings. Santa Cruz, California, 1967","Note on mount: ""File # 249-D-17, Copyright Alexander Lowry, 1967, Silver-gelatin print, 1980s""",,"Lowry, Alexander, 1937-2010",,1967-07-01,1967-07-01,info:lc/authorities/subjects/sh85129296; info:lc/authorities/subjects/sh85019133,http://www.geonames.org/5404900; http://www.geonames.org/11903520/cowell-ranch-historical.html; http://www.geonames.org/5393052,info:lc/authorities/names/n79059545; info:lc/authorities/names/n79056359,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 11 1/2 in.,Alexander Lowry,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0028,,Box 2
work,ms0188_pho_0029.tif,row:3,,,UC Santa Cruz Rugby: players,"Note on mount: ""File 532-G-18, Rugby Match, Santa Cruz, CA, 1984, GSP, late 1980s""",,"Lowry, Alexander, 1937-2010",,1984,1984,info:lc/authorities/subjects/sh85009135; info:lc/authorities/subjects/sh85028356; http://id.loc.gov/authorities/subjects/sh00007667; info:lc/authorities/subjects/sh85126887,http://www.geonames.org/5404900; http://www.geonames.org/11903393/east-field.html; http://www.geonames.org/5393052,info:lc/authorities/names/n79059545,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 12 in.,Alexander Lowry,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0029,,Box 2
collection,,row:2,115 objects,MS 39,Chuck and Esther Abbott Slide Collection,The Chuck and Esther Abbott Slide collection consists of slides of downtown Santa Cruz before and after the creation of the Pacific Garden mall.,,,,1965-1973,1965-1973,,,,,http://purl.org/dc/dcmitype/Collection,,,,,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Copyright for this work resides with the Regents of the University of California. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order in image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,http://rightsstatements.org/vocab/InC/1.0/,https://oac.cdlib.org/findaid/ark:/13030/c8gt5qb6/,,,
work,ms0039_s85_01.tif,row:39,,,"Holy Cross Church, 126 High Street: exterior view from Mission Plaza","The church, designed by architect Thomas Welsh, was built 1885-1889.",126 High Street,"Abbott, Chuck (Charles H.), 1892-1973; Abbott, Esther Henderson, 1911-2003","Welsh, Thomas J.",approximately 1970,1970,info:lc/authorities/subjects/sh85006611; http://vocab.getty.edu/aat/300021452; http://id.loc.gov/authorities/subjects/sh85025854; info:lc/authorities/subjects/sh85103400; info:lc/authorities/subjects/sh85026142,http://www.geonames.org/5393052,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300127478,2 1/2 x 2 1/2 in.,,ms0039_s85_01.tif,,,,,,,,MS39.S85.01,35mm slide call no.: N750A S034 SGH761 AB,
work,ms0039_m22_05.tif,row:39,,,"Veterans Memorial Building, 844 Front Street: exterior","The Veterans Memorial Building, designed by architects H.Y. Davis and J.W. Pearce, was built in 1932.",844 Front Street,"Abbott, Chuck (Charles H.), 1892-1973; Abbott, Esther Henderson, 1911-2003","Davis, H. Y.; Pearce, J. W.",1969,1969,info:lc/authorities/subjects/sh85074398; http://vocab.getty.edu/aat/300018159; http://vocab.getty.edu/aat/300007063; info:lc/authorities/subjects/sh85026142; info:lc/authorities/subjects/sh85006611,http://www.geonames.org/11903505/pacific-garden-mall-historical.html; http://www.geonames.org/5393052,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300127478,2 1/2 x 2 1/2 in.,,ms0039_m22_05.tif,,,,,,,,MS39.M22.05,35mm slide call no.: P750A S034 TCV586 AC,
work,ms0039_m26_11.tif,row:39,,,"Elks Building (formerly Hagemann-McPherson Building), 1214 Pacific Avenue: exterior detail","The building, designed by architect Edward Van Cleeck, was built ca. 1910.",1214 Pacific Avenue,"Abbott, Chuck (Charles H.), 1892-1973; Abbott, Esther Henderson, 1911-2003","Van Cleeck, Edward L.",1971,1971,info:lc/authorities/subjects/sh85094201; http://vocab.getty.edu/aat/300018146; http://vocab.getty.edu/aat/300007063; info:lc/authorities/subjects/sh85128377; info:lc/authorities/subjects/sh85028921; info:lc/authorities/subjects/sh85026142; info:lc/authorities/subjects/sh85006611,http://www.geonames.org/11903505/pacific-garden-mall-historical.html; http://www.geonames.org/5393052,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300127478,2 1/2 x 2 1/2 in.,,ms0039_m26_11.tif,,,,,,,,MS39.M26.11,35mm slide call no.: N750A S034 COE432 BE,
work,ms0039_m26_12.tif,row:39,,,"Elks Building (formerly Hagemann-McPherson Building), 1214 Pacific Avenue: exterior detail","The building, designed by architect Edward Van Cleeck, was built ca. 1910.",1214 Pacific Avenue,"Abbott, Chuck (Charles H.), 1892-1973; Abbott, Esther Henderson, 1911-2003","Van Cleeck, Edward L.",1972,1972,info:lc/authorities/subjects/sh85094201; http://vocab.getty.edu/aat/300018146; http://vocab.getty.edu/aat/300007063; info:lc/authorities/subjects/sh85128377; info:lc/authorities/subjects/sh85028921; info:lc/authorities/subjects/sh85026142; info:lc/authorities/subjects/sh85006611,http://www.geonames.org/11903505/pacific-garden-mall-historical.html; http://www.geonames.org/5393052,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300127478,2 1/2 x 2 1/2 in.,,ms0039_m26_12.tif,,,,,,,,MS39.M26.12,35mm slide call no.: N750A S034 COE432 AD,
work,ms0039_m33_06.tif,row:39,,,"Elks Building (formerly Hagemann-McPherson Building), 1214 Pacific Avenue: exterior detail","The building, designed by architect Edward Van Cleeck, was built ca. 1910.",1214 Pacific Avenue,"Abbott, Chuck (Charles H.), 1892-1973; Abbott, Esther Henderson, 1911-2003","Van Cleeck, Edward L.",1969,1969,info:lc/authorities/subjects/sh85094201; http://vocab.getty.edu/aat/300018146; http://vocab.getty.edu/aat/300007063; info:lc/authorities/subjects/sh85128377; info:lc/authorities/subjects/sh85028921; info:lc/authorities/subjects/sh85006611,http://www.geonames.org/11903505/pacific-garden-mall-historical.html; http://www.geonames.org/5393052,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300127478,2 1/2 x 2 1/2 in.,,ms0039_m33_06.tif,,,,,,,,MS39.M33.06,35mm slide call no.: N750A S034 COE432 BF,
work,ms0039_m33_07.tif,row:39,,,"Elks Building (formerly Hagemann-McPherson Building), 1214 Pacific Avenue: exterior detail","The building, designed by architect Edward Van Cleeck, was built ca. 1910.",1214 Pacific Avenue,"Abbott, Chuck (Charles H.), 1892-1973; Abbott, Esther Henderson, 1911-2003","Van Cleeck, Edward L.",1969,1969,info:lc/authorities/subjects/sh85094201; http://vocab.getty.edu/aat/300018146; http://vocab.getty.edu/aat/300007063; info:lc/authorities/subjects/sh85128377; info:lc/authorities/subjects/sh85028921; info:lc/authorities/subjects/sh85006611,http://www.geonames.org/11903505/pacific-garden-mall-historical.html; http://www.geonames.org/5393052,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300127478,2 1/2 x 2 1/2 in.,,ms0039_m33_07.tif,,,,,,,,MS39.M33.07,35mm slide call no.: N750A S034 COE432 BG,
